aircraft_fully_qualified_registration_no,aircraft_identification_no,manufacturer_name,manufacturer_code,aircraft_model_identifier,aircraft_series_identifier
428,4680,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
435,4662,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
436,4668,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
444,FL-444,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
446,446,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 300
447,447,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 300
452,S-062,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
453,S-069,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
454,S-074,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
455,S-075,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
458,0709,Zlin Aircraft,ZZZZZ,Z 242,
460,0711,Zlin Aircraft,ZZZZZ,Z 242,
461,0712,Zlin Aircraft,ZZZZZ,Z 242,
462,0713,Zlin Aircraft,ZZZZZ,Z 242,
463,4607,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
463,0714,Zlin Aircraft,ZZZZZ,Z 242,
464,4608,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
464,0715,Zlin Aircraft,ZZZZZ,Z 242,
465,4609,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
465,0716,Zlin Aircraft,ZZZZZ,Z 242,
466,4740,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
466,0717,Zlin Aircraft,ZZZZZ,Z 242,
467,4741,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
468,4751,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
469,0718,Zlin Aircraft,ZZZZZ,Z 242,
470,18679,Boeing,81205,C-135,FR
471,18680,Boeing,81205,C-135,FR
471,0720,Zlin Aircraft,ZZZZZ,Z 242,
472,5234,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
472,18681,Boeing,81205,C-135,FR
472,0721,Zlin Aircraft,ZZZZZ,Z 242,
473,5235,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
474,5252,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
474,18683,Boeing,81205,C-135,FR
474,0722,Zlin Aircraft,ZZZZZ,Z 242,
475,5253,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
475,18684,Boeing,81205,C-135,FR
476,0724,Zlin Aircraft,ZZZZZ,Z 242,
477,4560,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
478,4618,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
482,4755,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
483,4758,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
484,4843,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
485,4845,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
486,4915,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
491,0726,Zlin Aircraft,ZZZZZ,Z 242,
497,18480,Boeing,81205,C-135,KC-135R
500,257071/NA0251,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,HS125 700
501,4878,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
501,S-066,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 MPA
501,BB-1385,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
502,4916,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
502,S-067,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 MPA
503,4948,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
503,S-068,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 MPA
504,BB-1386,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
505,5739,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
506,5743,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
507,BB-1387,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
510,BB-1388,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
522,4686,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
524,051,Bombardier (Learjet),L00I6,Learjet 36,A
525,5698,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
525,18508,Boeing,81205,C-135,KC-135R
525,052,Bombardier (Learjet),L00I6,Learjet 36,A
526,45-345,Bombardier (Learjet),L00I6,Learjet 45,
527,DC-784M,Fairchild (Swearingen),ZZZZZ,Merlin IV/Metro,C-26
528,DC-790M,Fairchild (Swearingen),ZZZZZ,Merlin IV/Metro,C-26
529,DC-792M,Fairchild (Swearingen),ZZZZZ,Merlin IV/Metro,C-26
530,20031,Boeing (McDonnell-Douglas),88277,DC-3,Basler BT-67
532,189,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
534,229,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 300
535,343,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 300
536,459,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 300
537,460,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 300
537,5037,Gulfstream,2AAX5,Gulfstream G550,
545,4692,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
550,120089,Embraer,001JK,EMB-120,
554,3723,Airbus,FA849,A320,200 ACJ
555,4117,Airbus,FA849,A320,200 ACJ
556,4795,Airbus,FA849,A320,200 ACJ
557,1168,Gulfstream,2AAX5,Gulfstream IV,
558,1196,Gulfstream,2AAX5,Gulfstream IV,
560,34398,Boeing (McDonnell-Douglas),88277,DC-3,Basler BT-67
568,568,Britten-Norman,ZZZZZ,BN-2,A
569,5069,Gulfstream,2AAX5,Gulfstream G550,
574,18557,Boeing,81205,C-135,KC-135R
583,110082,Embraer,001JK,EMB-110,C
585,110187,Embraer,001JK,EMB-110,B
590,VZ042,Antonov,ZZZZZ,An-26,
590,33542,Boeing (McDonnell-Douglas),88277,DC-3,Basler BT-67
591,3668,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
592,3596,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
603,AN24011,Antonov,ZZZZZ,An-24,
603,3603,Antonov,ZZZZZ,An-26,
604,3604,Airbus,FA849,A319,100
605,3865,Airbus,FA849,A319,100
606,208B-0719,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
606,76,Dassault,F6117,Falcon 7X,
611,9503,Antonov,ZZZZZ,An-26,
612,9505,Antonov,ZZZZZ,An-26,
615,PYF1615,Antonov,ZZZZZ,An-26,
618,PYF1618,Antonov,ZZZZZ,An-26,
622,BT-39,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200T
625,BT-40,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200T
629,1G18312-2629,Antonov,ZZZZZ,An-3,T
629,BT-41,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200T
630,208B-5462,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
633,BT-42,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200T
636,BT-43,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200T
650,BL-70,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200C
651,BL-45,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200C
652,BL-34,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,200C
653,FA-118,Textron Aviation (Beechcraft),ZZZZZ,King Air 300,300LW
661,5723,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
662,5742,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
663,5781,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
665,5754,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
667,5794,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
668,5799,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
669,5845,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
671,145671,Embraer,001JK,ERJ-145,
676,676,Gulfstream,2AAX5,Gulfstream V,
678,678,Gulfstream,2AAX5,Gulfstream V,
679,679,Gulfstream,2AAX5,Gulfstream V,
684,684,Gulfstream,2AAX5,Gulfstream V,
700,LA-181,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air F90
701,0913,Airbus,FA849,A319,100
702,5484,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
703,BN-5,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air A200C
704,208B-5276,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
707,3310,Antonov,ZZZZZ,An-32,B
708,11391,Rockwell,ZZZZZ,Turbo Commander,690B
709,BN-6,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air A200C
710,20268,Fokker,ZZZZZ,Fokker 50,
711,20269,Fokker,ZZZZZ,Fokker 50,
711,BN-7,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air A200C
712,20294,Fokker,ZZZZZ,Fokker 50,
713,20295,Fokker,ZZZZZ,Fokker 50,
714,20267,Fokker,ZZZZZ,Fokker 50,
714,BN-8,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air A200C
715,20293,Fokker,ZZZZZ,Fokker 50,
716,20305,Fokker,ZZZZZ,Fokker 50,
717,20308,Fokker,ZZZZZ,Fokker 50,
718,20311,Fokker,ZZZZZ,Fokker 50,
719,BN-9,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air A200C
720,3519,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
720,YUN8041,Shaanxi,ZZZZZ,Y-8,
721,3557,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
721,BT-44,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200T
723,1AJBP01-01/1ANJP0723,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1T
723,3518,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
724,3611,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
725,3620,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
727,2810,Antonov,ZZZZZ,An-32,B
729,145729,Embraer,001JK,ERJ-145,
730,4842,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
730,BT-45,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200T
731,4844,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
731,810731,Aircraft Industries - Let,ZZZZZ,L-410,UVP
731,YUN8019,Shaanxi,ZZZZZ,Y-8,
732,4846,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
732,YUN8047,Shaanxi,ZZZZZ,Y-8,
733,4848,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
733,YUN9-KJ500-PROTO1,Shaanxi,ZZZZZ,Y-9,
734,4940,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
735,5070,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
735,18695,Boeing,81205,C-135,FR
735,BT-46,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200T
736,18696,Boeing,81205,C-135,FR
737,18697,Boeing,81205,C-135,FR
737,YUN9-KJ500-PROTO2,Shaanxi,ZZZZZ,Y-9,
738,18698,Boeing,81205,C-135,FR
739,18699,Boeing,81205,C-135,FR
740,18700,Boeing,81205,C-135,FR
741,4622,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
741,YUN9001,Shaanxi,ZZZZZ,Y-9,
742,4632,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
743,4665,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
744,4672,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
745,4716,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
745,745,Viking Air,ZZZZZ,DHC-6,300
746,4720,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
747,4723,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
749,4727,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
750,18626,Boeing,81205,C-135,KC-135R
751,4732,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
751,18232,Boeing,81205,C-135,KC-135R
751,FA-47,Textron Aviation (Beechcraft),ZZZZZ,King Air 300,
752,4734,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
752,17942,Boeing,81205,C-135,KC-135R
752,FA-105,Textron Aviation (Beechcraft),ZZZZZ,King Air 300,
753,18633,Boeing,81205,C-135,KC-135R
757,145757,Embraer,001JK,ERJ-145,
760,1667,Airbus,FA849,A330,200 MRTT
760,0073474208,UAC (Ilyushin),ZZZZZ,Il-76,
761,1762,Airbus,FA849,A330,200 MRTT
762,1799,Airbus,FA849,A330,200 MRTT
765,FL-765,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
766,FL-766,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
769,1450743664030,UAC (Tupolev),ZZZZZ,Tu-204,120
777,00-01,SCF Technoavia,ZZZZZ,Rysachok,
778,00-03,SCF Technoavia,ZZZZZ,Rysachok,
779,00-05,SCF Technoavia,ZZZZZ,Rysachok,
781,PROTO001,CAIC - China Aviation Industry Corp,ZZZZZ,Y-20,
783,PROTO003,CAIC - China Aviation Industry Corp,ZZZZZ,Y-20,
785,PROTO004,CAIC - China Aviation Industry Corp,ZZZZZ,Y-20,
788,PROTO005,CAIC - China Aviation Industry Corp,ZZZZZ,Y-20,
789,PROTO006,CAIC - China Aviation Industry Corp,ZZZZZ,Y-20,
800,288,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
801,2801,Antonov,ZZZZZ,An-26,
801,FL-131,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
802,FL-132,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
803,300,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
803,340,Dassault,F6117,Falcon 20/200,Falcon 20E
804,312,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
805,329,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
805,FL-805,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
806,358,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
807,364,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
808,365,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
809,835,Viking Air,ZZZZZ,DHC-6,300
810,13810,Antonov,ZZZZZ,An-26,
810,1AJGP01-01/1ANPJ0810,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
810,367,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
811,368,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
811,N027,Indonesia Aerospace,ZZZZZ,CASA CN-235,CN-235 100
811,2075,Viking Air,ZZZZZ,CL-415,
812,321,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
812,N028,Indonesia Aerospace,ZZZZZ,CASA CN-235,CN-235 100
813,186,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
813,N029,Indonesia Aerospace,ZZZZZ,CASA CN-235,CN-235 100
814,N030,Indonesia Aerospace,ZZZZZ,CASA CN-235,CN-235 100
815,N031,Indonesia Aerospace,ZZZZZ,CASA CN-235,CN-235 100
816,025,IAI,ZZZZZ,Arava,201
816,N032,Indonesia Aerospace,ZZZZZ,CASA CN-235,CN-235 100
820,S-178,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 W
821,S-180,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 W
822,S-182,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 W
822,86,Viking Air,ZZZZZ,DHC-5,D
832,028,IAI,ZZZZZ,Arava,201
835,LJ-1963,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90GTi
836,LJ-1951,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90GTi
837,LJ-930,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90
838,LJ-1053,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90-1
839,LJ-1802,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90GT
840,LJ-1808,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90GT
842,BB-1806,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
844,2027,Viking Air,ZZZZZ,CL-415,
844,BB-1809,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
848,BB-1811,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
855,2041,Viking Air,ZZZZZ,CL-415,
856,BB-1804,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
859,BB-1819,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
866,2046,Viking Air,ZZZZZ,CL-415,
871,BT-4,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,200T
872,0903,Antonov,ZZZZZ,An-30,
872,BB-1079,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
875,1003,Antonov,ZZZZZ,An-30,
875,268,BAE Systems (Jetstream),K1987,Jetstream,1
876,271,BAE Systems (Jetstream),K1987,Jetstream,1
877,2061,Viking Air,ZZZZZ,CL-415,
881,1509,Antonov,ZZZZZ,An-30,
887,887,Pilatus,ZZZZZ,PC-6,B
888,2072,Viking Air,ZZZZZ,CL-415,
888,888,Pilatus,ZZZZZ,PC-6,B
889,208B-5466,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
889,889,Pilatus,ZZZZZ,PC-6,B
890,890,Pilatus,ZZZZZ,PC-6,B
891,891,Pilatus,ZZZZZ,PC-6,B
897,004,IAI,ZZZZZ,Arava,201
901,S-101,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
901,FL-901,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
902,S-106,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
903,S-108,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
903,1876,Bombardier (Shorts),K4585,SC.7 Skyvan,3M
904,19000,Boeing,81205,707,320C
904,S-114,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
904,FL-904,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
910,S-118,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 MPA
910,1900,Bombardier (Shorts),K4585,SC.7 Skyvan,3M
911,S-131,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 MPA
911,1089,Gulfstream,2AAX5,Gulfstream IV,
912,S-136,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 MPA
912,1182,Gulfstream,2AAX5,Gulfstream IV,
913,S-141,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 MPA
915,1942,Bombardier (Shorts),K4585,SC.7 Skyvan,3M
916,1944,Bombardier (Shorts),K4585,SC.7 Skyvan,3M
921,28866,Boeing,81205,737 (CFMI),500
922,23524,Boeing,81205,737 (CFMI),300C
928,820928,Aircraft Industries - Let,ZZZZZ,L-410,T
930,820930,Aircraft Industries - Let,ZZZZZ,L-410,T
932,583,Viking Air,ZZZZZ,DHC-6,300
932,820932,Aircraft Industries - Let,ZZZZZ,L-410,T
933,584,Viking Air,ZZZZZ,DHC-6,300
933,820933,Aircraft Industries - Let,ZZZZZ,L-410,T
934,820934,Aircraft Industries - Let,ZZZZZ,L-410,T
936,10,Viking Air,ZZZZZ,DHC-6,100
937,11,Viking Air,ZZZZZ,DHC-6,100
938,586,Viking Air,ZZZZZ,DHC-6,300
939,20,Viking Air,ZZZZZ,DHC-6,100
940,24,Viking Air,ZZZZZ,DHC-6,100
942,590,Viking Air,ZZZZZ,DHC-6,300
944,397,Viking Air,ZZZZZ,DHC-6,300
945,398,Viking Air,ZZZZZ,DHC-6,300
946,399,Viking Air,ZZZZZ,DHC-6,300
948,3624,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
948,405,Viking Air,ZZZZZ,DHC-6,300
949,589,Viking Air,ZZZZZ,DHC-6,300
952,4334,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
954,4336,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
955,4337,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
956,4338,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
956,208B-1036,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
957,4339,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
960,350,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
961,355,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 200
965,442,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 300
974,BP-7,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,RC-12
977,BP-8,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,RC-12
980,BP-9,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,RC-12
980,YUN8007,Shaanxi,ZZZZZ,Y-8,
981,17572,Boeing,81205,C-135,KC-135E
982,17730,Boeing,81205,C-135,KC-135E
982,BP-10,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,RC-12
982,YUN8011,Shaanxi,ZZZZZ,Y-8,
983,17759,Boeing,81205,C-135,KC-135E
983,YUN8010,Shaanxi,ZZZZZ,Y-8,
985,26205,Boeing,81205,767,300ER
985,BP-11,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,RC-12
987,FG-1,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,RC-12
987,YUN8005,Shaanxi,ZZZZZ,Y-8,
989,YUN8014,Shaanxi,ZZZZZ,Y-8,
990,4776,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130R
990,FG-2,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,RC-12
992,4768,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
995,4453,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
996,4496,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
998,3690,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
999,4626,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
1003,1AJB001-01,Sikorsky (PZL-Mielec),3G066,An-28,
1006,AJG001-04,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
1008,1AJ010-08,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
1017,AJG001-03,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
1022,AJG001-01,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
1039,1039,Viking Air,ZZZZZ,CL-215,
1041,1041,Viking Air,ZZZZZ,CL-215,
1043,1043,Viking Air,ZZZZZ,CL-215,
1045,1045,Viking Air,ZZZZZ,CL-215,
1055,1055,Viking Air,ZZZZZ,CL-215,
1060,1060,Viking Air,ZZZZZ,CL-215,
1067,1067,Viking Air,ZZZZZ,CL-215,
1069,1069,Viking Air,ZZZZZ,CL-215,
1073,1073,Viking Air,ZZZZZ,CL-215,
1084,14501084,Embraer,001JK,ERJ-135,
1103,4771,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
1104,1104,Antonov,ZZZZZ,An-30,
1105,1105,Antonov,ZZZZZ,An-30,
1106,1023408265,UAC (Ilyushin),ZZZZZ,Il-76,TD
1107,550-0449,Textron Aviation (Cessna),ZZZZZ,Citation II (Cessna 550),550 Citation II
1109,8188,Fairchild Dornier,ZZZZZ,Dornier 228,228 200
1110,1110,Viking Air,ZZZZZ,CL-215,
1110,8189,Fairchild Dornier,ZZZZZ,Dornier 228,228 200
1111,8190,Fairchild Dornier,ZZZZZ,Dornier 228,228 200
1112,8226,Fairchild Dornier,ZZZZZ,Dornier 228,228 200
1112,BB-1110,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
1113,8227,Fairchild Dornier,ZZZZZ,Dornier 228,228 200
1114,AJG001-05,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
1114,8228,Fairchild Dornier,ZZZZZ,Dornier 228,228 200
1115,AJG001-06,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
1115,8241,Fairchild Dornier,ZZZZZ,Dornier 228,228 200
1116,AJG001-07,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
1117,AJG002-01,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
1118,AJG002-02,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
1121,42-8001048,Piper,ZZZZZ,PA-42,Cheyenne III
1123,1123,Viking Air,ZZZZZ,CL-215,
1124,14501124,Embraer,001JK,ERJ-135,
1126,831126,Aircraft Industries - Let,ZZZZZ,L-410,T
1127,831127,Aircraft Industries - Let,ZZZZZ,L-410,T
1128,831128,Aircraft Industries - Let,ZZZZZ,L-410,T
1129,831129,Aircraft Industries - Let,ZZZZZ,L-410,T
1130,831130,Aircraft Industries - Let,ZZZZZ,L-410,T
1131,831131,Aircraft Industries - Let,ZZZZZ,L-410,T
1132,831132,Aircraft Industries - Let,ZZZZZ,L-410,T
1133,831133,Aircraft Industries - Let,ZZZZZ,L-410,T
1165,BB-1165,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
1188,6504,Antonov,ZZZZZ,An-26,
1190,77310809,Antonov,ZZZZZ,An-24,RV
1191,47309809,Antonov,ZZZZZ,An-24,RV
1192,381802,Shaanxi,ZZZZZ,Y-8,200
1195,1AJ009-05,Sikorsky (PZL-Mielec),3G066,An-28,
1201,10666,Fokker,ZZZZZ,Fokker F.27,200
1202,10663,Fokker,ZZZZZ,Fokker F.27,200
1207,1202,Piaggio,ZZZZZ,P.180,Avanti II
1208,1206,Piaggio,ZZZZZ,P.180,Avanti II
1211,4983,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
1213,4879,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
1214,4882,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
1215,5024,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,L-100
1216,4895,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,L-100
1217,4691,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,L-100
1223,UE-1,Boeing (McDonnell-Douglas),88277,C-17,A
1224,UE-2,Boeing (McDonnell-Douglas),88277,C-17,A
1225,UE-3,Boeing (McDonnell-Douglas),88277,C-17,A
1226,UE-4,Boeing (McDonnell-Douglas),88277,C-17,A
1227,UE-5,Boeing (McDonnell-Douglas),88277,C-17,A
1228,UE-6,Boeing (McDonnell-Douglas),88277,C-17,A
1229,UE-7,Boeing (McDonnell-Douglas),88277,C-17,A
1230,UE-8,Boeing (McDonnell-Douglas),88277,C-17,A
1231,208B-1231,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
1250,11153,Fokker,ZZZZZ,Fokker F.28,3000
